--- estado final ---
FINAL REG  1 = 0xxxxxxxxx
FINAL REG  2 = 0xxxxxxxxx
FINAL REG  3 = 0xxxxxxxxx
FINAL REG  4 = 0xxxxxxxxx
FINAL REG  5 = 0xxxxxxxxx
FINAL REG  6 = 0xxxxxxxxx
FINAL REG  7 = 0xxxxxxxxx
FINAL REG  8 = 0xxxxxxxxx
FINAL REG  9 = 0xxxxxxxxx
FINAL REG 10 = 0xxxxxxxxx
FINAL REG 11 = 0xxxxxxxxx
FINAL REG 12 = 0xxxxxxxxx
FINAL REG 13 = 0xxxxxxxxx
FINAL REG 14 = 0xxxxxxxxx
FINAL REG 15 = 0xxxxxxxxx
FINAL REG 16 = 0xxxxxxxxx
FINAL REG 17 = 0xxxxxxxxx
FINAL REG 18 = 0xxxxxxxxx
FINAL REG 19 = 0xxxxxxxxx
FINAL REG 20 = 0xxxxxxxxx
FINAL REG 21 = 0xxxxxxxxx
FINAL REG 22 = 0xxxxxxxxx
FINAL REG 23 = 0xxxxxxxxx
FINAL REG 24 = 0xxxxxxxxx
FINAL REG 25 = 0xxxxxxxxx
FINAL REG 26 = 0xxxxxxxxx
FINAL REG 27 = 0xxxxxxxxx
FINAL REG 28 = 0xxxxxxxxx
FINAL REG 29 = 0xxxxxxxxx
FINAL REG 30 = 0xxxxxxxxx
FINAL REG 31 = 0xxxxxxxxx
FINAL MEM[  0] = 0xxxxxxxxx
FINAL MEM[  1] = 0xxxxxxxxx
FINAL MEM[  2] = 0xxxxxxxxx
FINAL MEM[  3] = 0xxxxxxxxx
FINAL MEM[  4] = 0xxxxxxxxx
FINAL MEM[  5] = 0xxxxxxxxx
FINAL MEM[  6] = 0xxxxxxxxx
FINAL MEM[  7] = 0xxxxxxxxx
FINAL MEM[  8] = 0xxxxxxxxx
FINAL MEM[  9] = 0xxxxxxxxx
FINAL MEM[ 10] = 0xxxxxxxxx
FINAL MEM[ 11] = 0xxxxxxxxx
FINAL MEM[ 12] = 0xxxxxxxxx
FINAL MEM[ 13] = 0xxxxxxxxx
FINAL MEM[ 14] = 0xxxxxxxxx
FINAL MEM[ 15] = 0xxxxxxxxx
